Date,x,y
2013-01-01,0.36869999999999997,0.2585
2013-02-01,0.369,0.2721
2013-03-01,0.37229999999999996,0.27140000000000003
2013-04-01,0.3834,0.2646
2013-05-01,0.38270000000000004,0.2586
2013-06-01,0.37929999999999997,0.2509
2013-07-01,0.3834,0.24789999999999998
2013-08-01,0.39520000000000005,0.23440000000000003
2013-09-01,0.3982,0.2273
2013-10-01,0.39390000000000003,0.2054
2013-11-01,0.4131,0.2194
2013-12-01,0.4299,0.2182
2014-01-01,0.4462,0.23550000000000001
2014-02-01,0.47450000000000003,0.2297
2014-03-01,0.4826,0.23600000000000002
2014-04-01,0.49950000000000006,0.2325
2014-05-01,0.5223,0.2324
2014-06-01,0.5297999999999999,0.2429
2014-07-01,0.5351,0.249
2014-08-01,0.5487,0.2357
2014-09-01,0.557,0.2473
2014-10-01,0.5743,0.2596
2014-11-01,0.599,0.2302
2014-12-01,0.5915,0.2351
2015-01-01,0.5978,0.2275
2015-02-01,0.6079,0.23170000000000002
2015-03-01,0.6194,0.22640000000000002
2015-04-01,0.6343,0.2078
2015-05-01,0.64,0.2022
2015-06-01,0.6375,0.2022
2015-07-01,0.6408,0.2041
2015-08-01,0.6556000000000001,0.19030000000000002
2015-09-01,0.6677,0.1814
2015-10-01,0.6715000000000001,0.177
2015-11-01,0.6573,0.193
2015-12-01,0.659,0.19210000000000002
2016-01-01,0.6628000000000001,0.19579999999999997
2016-02-01,0.6638,0.19469999999999998
2016-03-01,0.6804000000000001,0.1882
2016-04-01,0.6828,0.188
2016-05-01,0.6884,0.1863
2016-06-01,0.6839,0.20329999999999998
2016-07-01,0.6879000000000001,0.1989
2016-08-01,0.6854,0.2007
2016-09-01,0.6968000000000001,0.1938
2016-10-01,0.7084,0.1912
2016-11-01,0.7201000000000001,0.1885
2016-12-01,0.7197,0.1889
2017-01-01,0.7158,0.1973
2017-02-01,0.7198,0.1945
2017-03-01,0.7161,0.195
2017-04-01,0.7184,0.19870000000000002
2017-05-01,0.7268000000000001,0.1932
2017-06-01,0.7289,0.1935
2017-07-01,0.7339,0.18780000000000002
2017-08-01,0.7273999999999999,0.2032
2017-09-01,0.7352,0.1937
2017-10-01,0.7304999999999999,0.1999
2017-11-01,0.7311,0.2034
2017-12-01,0.7354,0.1991
2018-01-01,0.7439,0.19640000000000002
2018-02-01,0.7478,0.20149999999999998
2018-03-01,0.7424,0.20829999999999999
2018-04-01,0.7565999999999999,0.1923
2018-05-01,0.7653,0.18969999999999998
2018-06-01,0.7698999999999999,0.1891
2018-07-01,0.7731999999999999,0.19399999999999998
2018-08-01,0.7681999999999999,0.2045
2018-09-01,0.7661,0.2066
2018-10-01,0.7469,0.2234
2018-11-01,0.7234999999999999,0.2444
2018-12-01,0.7515999999999999,0.2198
2019-01-01,0.7445,0.2285
2019-02-01,0.7415,0.2328
2019-03-01,0.7533,0.22399999999999998
2019-04-01,0.7522,0.22760000000000002
2019-05-01,0.7534000000000001,0.2266
2019-06-01,0.7603,0.22039999999999998
2019-07-01,0.7608,0.22010000000000002
2019-08-01,0.7623000000000001,0.2217
2019-09-01,0.7624,0.2248
2019-10-01,0.7667,0.22089999999999999
2019-11-01,0.7582,0.22899999999999998
2019-12-01,0.7413,0.24789999999999998
2020-01-01,0.743,0.24760000000000001
2020-02-01,0.733,0.2589
2020-03-01,0.7226,0.2703
2020-04-01,0.7068000000000001,0.2879
2020-05-01,0.726,0.2672
2020-06-01,0.7414000000000001,0.2526
2020-07-01,0.746,0.2482
2020-08-01,0.7425,0.2515
2020-09-01,0.7444,0.2498
2020-10-01,0.7292000000000001,0.26530000000000004
2020-11-01,0.7118000000000001,0.28190000000000004
2020-12-01,0.7248,0.2691
2021-01-01,0.7193,0.2747
2021-02-01,0.7190000000000001,0.2733
2021-03-01,0.7182999999999999,0.2741
2021-04-01,0.7219,0.27
2021-05-01,0.7272,0.2646
2021-06-01,0.7283,0.2635
2021-07-01,0.7221,0.2692
2021-08-01,0.7273999999999999,0.2642
2021-09-01,0.7243999999999999,0.2675
2021-10-01,0.7109000000000001,0.2821
2021-11-01,0.7073999999999999,0.2854
2021-12-01,0.7001000000000001,0.2924
2022-01-01,0.6973999999999999,0.2949
2022-02-01,0.7094,0.2829
2022-03-01,0.7170000000000001,0.2757
2022-04-01,0.7159,0.2768
2022-05-01,0.7145,0.2783
2022-06-01,0.7212000000000001,0.2722
2022-07-01,0.7184999999999999,0.275
2022-08-01,0.7152,0.2783
2022-09-01,0.7155,0.278
2022-10-01,0.7098,0.2841
2022-11-01,0.7195999999999999,0.2748
2022-12-01,0.7237,0.2698
2023-01-01,0.7177,0.276
2023-02-01,0.7227,0.271
2023-03-01,0.7088,0.2842
2023-04-01,0.6861,0.3061
2023-05-01,0.6772,0.3144
2023-06-01,0.7079000000000001,0.2844
2023-07-01,0.7087,0.2839
2023-08-01,0.7076,0.2853
2023-09-01,0.6973999999999999,0.2958
2023-10-01,0.6966,0.2965
2023-11-01,0.7019,0.2912
2023-12-01,0.7048000000000001,0.28800000000000003
2024-01-01,0.6998000000000001,0.2927
2024-02-01,0.7143,0.2784
2024-03-01,0.7078,0.2846
2024-04-01,0.7131000000000001,0.27949999999999997
2024-05-01,0.715,0.2773
2024-06-01,0.7217,0.2716
2024-07-01,0.7162000000000001,0.2775
2024-08-01,0.7170000000000001,0.2771
2024-09-01,0.7184,0.2761
2024-10-01,0.7112,0.2838
2024-11-01,0.7184999999999999,0.27690000000000003
2024-12-01,0.7349,0.26039999999999996
2025-01-01,0.7221,0.2732
2025-02-01,0.7175,0.2778
2025-03-01,0.7195,0.2763
2025-04-01,0.7223,0.27390000000000003
2025-05-01,0.7272,0.2692
2025-06-01,0.7418,0.2547
2025-07-01,0.7203,0.2759
2025-08-01,0.7393000000000001,0.2568
2025-09-01,0.7517,0.2445
2025-10-01,0.7259,0.27
2025-11-01,0.7190000000000001,0.2767
2025-12-01,0.7171,0.2791
