Date,x,y,dx,dy
2013-02-01,0.369,0.2721,0.000300000000000078,0.013600000000000001
2013-03-01,0.3722999999999999,0.2714,0.003299999999999914,-0.0007000000000000339
2013-04-01,0.3834,0.2646,0.01110000000000011,-0.006799999999999973
2013-05-01,0.3827,0.2586,-0.0007000000000000339,-0.006000000000000005
2013-06-01,0.3792999999999999,0.2509,-0.0034000000000000696,-0.007699999999999985
2013-07-01,0.3834,0.2478999999999999,0.0041000000000001036,-0.0030000000000001137
2013-08-01,0.3952,0.2344,0.011799999999999977,-0.013499999999999901
2013-09-01,0.3982,0.2273,0.0030000000000000027,-0.007099999999999995
2013-10-01,0.3939,0.2054,-0.004300000000000026,-0.021900000000000003
2013-11-01,0.4131,0.2194,0.01920000000000005,0.014000000000000012
2013-12-01,0.4299,0.2182,0.01679999999999998,-0.0012000000000000066
2014-01-01,0.4462,0.2355,0.01629999999999998,0.017299999999999982
2014-02-01,0.4745,0.2297,0.028299999999999992,-0.0058
2014-03-01,0.4826,0.236,0.008099999999999996,0.0063
2014-04-01,0.4995,0.2325,0.016900000000000026,-0.0034999999999999754
2014-05-01,0.5223,0.2324,0.022799999999999987,-0.00010000000000001674
2014-06-01,0.5297999999999999,0.2429,0.007499999999999951,0.01050000000000001
2014-07-01,0.5351,0.249,0.005300000000000082,0.006099999999999994
2014-08-01,0.5487,0.2357,0.013599999999999945,-0.013300000000000006
2014-09-01,0.557,0.2473,0.008300000000000085,0.0116
2014-10-01,0.5743,0.2596,0.017299999999999982,0.012300000000000005
2014-11-01,0.599,0.2302,0.024699999999999944,-0.02940000000000001
2014-12-01,0.5915,0.2351,-0.007499999999999951,0.0049000000000000155
2015-01-01,0.5978,0.2275,0.006299999999999972,-0.007599999999999996
2015-02-01,0.6079,0.2317,0.010099999999999998,0.0041999999999999815
2015-03-01,0.6194,0.2264,0.011499999999999955,-0.005299999999999999
2015-04-01,0.6343,0.2078,0.014900000000000024,-0.018599999999999978
2015-05-01,0.64,0.2022,0.005700000000000038,-0.005600000000000022
2015-06-01,0.6375,0.2022,-0.0025000000000000577,0.0
2015-07-01,0.6408,0.2041,0.0033000000000000806,0.0019000000000000128
2015-08-01,0.6556000000000001,0.1903,0.014800000000000035,-0.013800000000000007
2015-09-01,0.6677,0.1814,0.012099999999999889,-0.008899999999999991
2015-10-01,0.6715000000000001,0.177,0.0038000000000001366,-0.004400000000000015
2015-11-01,0.6573,0.193,-0.014200000000000101,0.016000000000000014
2015-12-01,0.659,0.1921,0.0017000000000000348,-0.0009000000000000119
2016-01-01,0.6628000000000001,0.1957999999999999,0.0038000000000000256,0.003699999999999898
2016-02-01,0.6638,0.1946999999999999,0.0009999999999998899,-0.0010999999999999899
2016-03-01,0.6804000000000001,0.1882,0.01660000000000017,-0.006499999999999895
2016-04-01,0.6828,0.188,0.0023999999999998467,-0.00020000000000000573
2016-05-01,0.6884,0.1863,0.005600000000000049,-0.001700000000000007
2016-06-01,0.6839,0.2032999999999999,-0.0045000000000000595,0.016999999999999904
2016-07-01,0.6879000000000001,0.1989,0.004000000000000115,-0.004399999999999904
2016-08-01,0.6854,0.2007,-0.0025000000000000577,0.001799999999999996
2016-09-01,0.6968000000000001,0.1938,0.011400000000000077,-0.0068999999999999895
2016-10-01,0.7084,0.1912,0.011599999999999944,-0.002599999999999991
2016-11-01,0.7201000000000001,0.1885,0.011700000000000044,-0.002700000000000008
2016-12-01,0.7197,0.1889,-0.00040000000000006697,0.00040000000000001146
