"Date","Android","iOS","Samsung","Unknown","KaiOS","Windows","Linux","Other"
2024-01,69.98,29.27,0.36,0.16,0.16,0.02,0.01,0.03
2024-02,71.43,27.84,0.37,0.16,0.14,0.02,0.01,0.03
2024-03,70.78,28.46,0.39,0.17,0.13,0.02,0.01,0.03
2024-04,71.31,27.95,0.38,0.18,0.12,0.02,0.01,0.03
2024-05,71.5,27.73,0.38,0.2,0.15,0.02,0.01,0.02
2024-06,72.17,27.16,0.37,0.12,0.13,0.02,0.01,0.02
2024-07,71.62,27.75,0.36,0.11,0.11,0.02,0.01,0.02
2024-08,71.7,27.71,0.35,0.11,0.08,0.02,0.01,0.02
2024-09,71.84,27.61,0.34,0.12,0.05,0.01,0.01,0.02
2024-10,71.12,28.38,0.32,0.11,0.04,0.01,0.01,0.02
2024-11,71.85,27.69,0.31,0.1,0.03,0.01,0.01,0.01
2024-12,73.49,26.04,0.31,0.1,0.03,0.01,0.01,0.01
